mineral name,chemistry,Al,B,Ca,Cr,K,Li,Mg,Mn,Na,Ni,O,Sc,Si,V,Fe2+,Fe3+,Zn,Ti4+,Ti3+,sum,a,b,c,β,volume,P,T,crystal system,space group,citation text,notes
Pigeonite,Mg.78 Fe1.04 Ca.18 Si2 O6,0,0,0.18,0,0,0,0.78,0,0,0,6,0,2,0,1.04,0,0,0,0,10,9.706,8.95,5.246,108.59,431.936,,,monoclinic,P21/c,American Mineralogist 55 (1970) 1195-1209,"Locality: Isle of Mull, Scotland"
Clinoferrosilite,(Fe1.60(2)Mg0.40)Si2O6,0,0,0,0,0,0,0.4,0,0,0,6,0,2,0,1.6,0,0,0,0,10,9.6931,9.0199,5.2264,108.59,433.1,,,monoclinic,P21/c,Physics and Chemistry of Minerals 25 (1998) 249-258,Synthetic UHP1035 - XFs 0.801
Clinoferrosilite,(Fe1.60(2)Mg0.40)Si2O6,0,0,0,0,0,0,0.4,0,0,0,6,0,2,0,1.6,0,0,0,0,10,9.6913,9.0171,5.2263,108.598,432.87,,,monoclinic,P21/c,Physics and Chemistry of Minerals 25 (1998) 249-258,Synthetic U1056B - XFs 0.800
Kanoite,(Mg.52 Mn.48) Si O3,0,0,0,0,0,0,1.04,0.96,0,0,6,0,2,0,0,0,0,0,0,10,9.78,8.93,5.32,108.6,440.356,,,monoclinic,P21/c,American Mineralogist 66 (1981) 127-141,
Clinoferrosilite,(Fe1.38(2)Mg0.62)Si2O6,0,0,0,0,0,0,0.62,0,0,0,6,0,2,0,1.38,0,0,0,0,10,9.6837,8.9905,5.2202,108.604,430.73,,,monoclinic,P21/c,Physics and Chemistry of Minerals 25 (1998) 249-258,Synthetic H-346 - XFs 0.690
Clinoferrosilite,(Fe1.42(2)Mg0.58)Si2O6,0,0,0,0,0,0,0.58,0,0,0,6,0,2,0,1.42,0,0,0,0,10,9.6856,8.9964,5.2218,108.605,431.22,,,monoclinic,P21/c,Physics and Chemistry of Minerals 25 (1998) 249-258,Synthetic U1033 - XFs 0.711
Clinoenstatite,(Mg1.33Ca0.10Fe0.57)Si2O6,0,0,0.1,0,0,0,1.33,0,0,0,6,0,2,0,0.57,0,0,0,0,10,9.662,8.893,5.21,108.61,424.2,,,monoclinic,P21/c,American Mineralogist 58 (1973) 50-59,"Synthetic 30,5"
Clinoferrosilite,(Fe1.39(2)Mg0.61)Si2O6,0,0,0,0,0,0,0.61,0,0,0,6,0,2,0,1.39,0,0,0,0,10,9.6868,8.9936,5.2218,108.611,431.13,,,monoclinic,P21/c,Physics and Chemistry of Minerals 25 (1998) 249-258,Synthetic H-275 - XFs 0.694
Clinoferrosilite,(Fe1.14Ca0.10Mg0.76)Si2O6,0,0,0.1,0,0,0,0.76,0,0,0,6,0,2,0,1.14,0,0,0,0,10,9.684,8.958,5.227,108.62,429.7,,,monoclinic,P21/c,American Mineralogist 58 (1973) 50-59,"Synthetic 60,5"
Clinoferrosilite,(Fe1.29(3)Mg0.71)Si2O6,0,0,0,0,0,0,0.71,0,0,0,6,0,2,0,1.29,0,0,0,0,10,9.6761,8.9664,5.2171,108.623,428.93,,,monoclinic,P21/c,Physics and Chemistry of Minerals 25 (1998) 249-258,Synthetic H-157 - XFs 0.643
Clinoferrosilite,(Fe1.36(2)Mg0.64)Si2O6,0,0,0,0,0,0,0.64,0,0,0,6,0,2,0,1.36,0,0,0,0,10,9.6846,8.9898,5.2209,108.627,430.73,,,monoclinic,P21/c,Physics and Chemistry of Minerals 25 (1998) 249-258,Synthetic H-272 - XFs 0.680
Clinoferrosilite,(Fe1.19(2)Mg0.81)Si2O6,0,0,0,0,0,0,0.81,0,0,0,6,0,2,0,1.19,0,0,0,0,10,9.6744,8.963,5.2157,108.63,428.57,,,monoclinic,P21/c,Physics and Chemistry of Minerals 25 (1998) 249-258,Synthetic U1056A - XFs 0.5973
Pigeonite,(Mg0.518Fe2+0.365Ca0.096Mn0.008Fe3+0.005Na0.002)(Si0.984Al0.017Ti0.006)O3,0.034,0,0.192,0,0,0,1.036,0.016,0.004,0,6,0,1.968,0,0.73,0.01,0,0.012,0,10.00,9.7004,8.9227,5.2237,108.686,428.3,,,monoclinic,P21/c,Mineralogy and Petrology 77 (2003) 161-176,"Sample BTS302-3 from Paranà transitional basalt, Brazil"
Clinoferrosilite,(Fe1.20Mg0.80)Si2O6,0,0,0,0,0,0,0.8,0,0,0,6,0,2,0,1.2,0,0,0,0,10,9.667,8.961,5.216,108.69,428,,,monoclinic,P21/c,American Mineralogist 58 (1973) 50-59,"Synthetic 60,0"
Pigeonite,(Mg.54 Fe.46) Si O3,0,0,0,0,0,0,1.08,0,0,0,6,0,2,0,0.92,0,0,0,0,10,9.678,8.905,5.227,108.71,426.671,,,monoclinic,P21/c,American Mineralogist 56 (1971) 888-908,
Pigeonite,(Mg0.95Fe0.95Ca0.10)Si2O6,0,0,0.1,0,0,0,0.95,0,0,0,6,0,2,0,0.95,0,0,0,0,10,9.662,8.931,5.218,108.71,426.5,,,monoclinic,P21/c,American Mineralogist 58 (1973) 50-59,"Synthetic 50,5"
Kanoite,(Mg.578 Mn.422) Si O3,0,0,0,0,0,0,1.156,0.844,0,0,6,0,2,0,0,0,0,0,0,10,9.7196,8.9172,5.2465,108.74,430.616,0.0 GPa,,monoclinic,P21/c,American Mineralogist 83 (1998) 1176-1181,
Clinoenstatite,Mg1.00Si1.00O3,0,0,0,0,0,0,2,0,0,0,6,0,2,0,0,0,0,0,0,10,9.603,8.815,5.162,108.35,414.746,,,monoclinic,P21/c,R070276,"Locality: Synthetic, at 15 GPa and 1600 C by Juergen Konzett"
Kanoite,(Mn2+0.88Ca0.12)Σ=1(Mg0.98Fe3+0.02)Σ=1(Si0.98Al0.02)2O6,0.04,0,0.12,0,0,0,0.98,0.88,0,0,6,0,1.96,0,0,0.02,0,0,0,10,9.711,8.871,5.258,108.48,429.6,,,monoclinic,P21/c,R061134,"Locality: Balmat, St. Lawrence County, New York, USA"
