mineral name,chemistry,Al,Ca,Cr,Fe2+,Fe3+,Mg,Mn,Na,Sc,Ti4+,V,Zr,Si,O,Sum,a,b,c,volume,x,y,z,P,T,crystal system,space group,citation text,notes,ID,,,,,,,,,,,,,,,,,,,,,,
Pyrope,Mg3.13 Al1.74 Si3.13 O12,1.74,0,0,0,0,3.13,0,0,0,0,0,0,3.13,12,20,11.4755,11.4755,11.4755,1511.175,0.03275,0.05012,0.6537, , ,cubic,Ia3d,American Mineralogist 84 (1999) 1135-1143, ,151,,,,,,,,,,,,,,,,,,,,,,
Pyrope,Mg3 Al2 Si3 O12,2,0,0,0,0,3,0,0,0,0,0,0,3,12,20,11.4545,11.4545,11.4545,1502.894,0.0332,0.0497,0.6537,0.0 GPa, ,cubic,Ia3d,Physics and Chemistry of Minerals 25 (1998) 301-307, ,167,,,,,,,,,,,,,,,,,,,,,,
Pyrope,Mg3 Al2 Si3 O12,2,0,0,0,0,3,0,0,0,0,0,0,3,12,20,11.5136,11.5136,11.5136,1526.277,0.0333,0.04901,0.65374, , ,cubic,Ia3d,American Mineralogist 96 (2011) 1593-1605,Locality: synthetic,131,,,,,,,,,,,,,,,,,,,,,,
Andradite,Ca2.895 Mn.024 Na.018 Mg.104 Al.224 Ti.792 Fe1.486 Si2.457 O12,0.224,2.895,0,0.186,1.3,0.104,0.024,0.018,0,0.792,0,0,2.457,12,20,12.122,12.122,12.122,1781.242,0.0379,0.04811,0.65379, , ,cubic,Ia3d,European Journal of Mineralogy 10 (1998) 907-921,"Locality: Baden-Wurtemburg, Germany",7,,,,,,,,,,,,,,,,,,,,,,
Goldmanite,Si3 (V1.2 Al.48 Fe.32) (Ca2.91 Mg.09) O12,0.48,2.91,0,0,0.32,0.09,0,0,0,0,1.2,0,3,12,20,12.011,12.011,12.011,1732.756,0.0385,0.04742,0.65387, , ,cubic,Ia3d,American Mineralogist 56 (1971) 791-823,"Locality: Laguna Uranium mining district, New Mexico, USA",34,,,,,,,,,,,,,,,,,,,,,,
Andradite,Ca2.934 Mn.048 Na.012 Mg.056 Al.496 V.056 Ti.299 Fe1.306 Si2.793 O12,0.496,2.934,0,0.026,1.28,0.056,0.048,0.012,0,0.299,0.056,0,2.793,12,20,12.038,12.038,12.038,1744.468,0.0386,0.0478,0.654, , ,cubic,Ia3d,European Journal of Mineralogy 10 (1998) 907-921,"Locality: Schaffhausen area, Switzerland",28,,,,,,,,,,,,,,,,,,,,,,
Pyrope,Mg3.238 Al1.524 Si3.238 O12,1.524,0,0,0,0,3.238,0,0,0,0,0,0,3.238,12,20,11.4915,11.4915,11.4915,1517.505,0.03306,0.0505,0.65407, , ,cubic,Ia3d,American Mineralogist 84 (1999) 1135-1143, ,138,,,,,,,,,,,,,,,,,,,,,,
Pyrope,Mg3.52 Al.96 Si3.52 O12,0.96,0,0,0,0,3.52,0,0,0,0,0,0,3.52,12,20,11.4876,11.4876,11.4876,1515.961,0.03281,0.05034,0.65414, , ,cubic,Ia3d,American Mineralogist 84 (1999) 1135-1143, ,141,,,,,,,,,,,,,,,,,,,,,,
Pyrope,Mg3 Al2 Si3 O12,2,0,0,0,0,3,0,0,0,0,0,0,3,12,20,11.476,11.476,11.476,1511.373,0.03304,0.05004,0.6542, , ,cubic,Ia3d,European Journal of Mineralogy 5 (1993) 59-71, ,150,,,,,,,,,,,,,,,,,,,,,,
Pyrope,Mg3.374 Al1.252 Si3.374 O12,1.252,0,0,0,0,3.374,0,0,0,0,0,0,3.374,12,20,11.4833,11.4833,11.4833,1514.259,0.03278,0.05022,0.65422, , ,cubic,Ia3d,American Mineralogist 84 (1999) 1135-1143, ,146,,,,,,,,,,,,,,,,,,,,,,
Andradite,Ca2.892 Mg.072 Mn.018 Fe1.311 Al.632 Ti.192 Zr.009 Si2.874 O12,0.632,2.892,0,0.093,1.218,0.072,0.018,0,0,0.192,0,0.009,2.874,12,20,12.014,12.014,12.014,1734.055,0.039,0.0477,0.6543, , ,cubic,Ia3d,European Journal of Mineralogy 14 (2002) 785-794, ,33,,,,,,,,,,,,,,,,,,,,,,
