mineral name,chemistry,Al,B,Ca,Cr,K,Li,Mg,Mn,Na,Ni,O,Sc,Si,V,Fe2+,Fe3+,Zn,Ti4+,Ti3+,sum,a,b,c,β,volume,P,T,crystal system,space group,citation text,notes
Hedenbergite,(Ca0.90Fe0.825Mg0.275)Si2O6,0,0,0.9,0,0,0,0.275,0,0,0,6,0,2,0,0.825,0,0,0,0,10,9.814,9.002,5.249,105.46,447,,,monoclinic,C2/c,American Mineralogist 58 (1973) 50-59,"Synthetic 75,45"
Augite,(CaMg0.589Fe0.411)Si2O6,0,0,1,0,0,0,0.589,0,0,0,6,0,2,0,0.411,0,0,0,0,10,9.794,8.966,5.257,105.47,444.94,,,monoclinic,C2/c,American Mineralogist 54 (1969) 238-245,Synthetic #WD 232
Augite,(CaMg0.589Fe0.411)Si2O6,0,0,1,0,0,0,0.589,0,0,0,6,0,2,0,0.411,0,0,0,0,10,9.794,8.963,5.249,105.48,444,,,monoclinic,C2/c,American Mineralogist 54 (1969) 238-245,Synthetic #WD 162
Johannsenite,Ca Mn Si2 O6,0,0,1,0,0,0,0,1,0,0,6,0,2,0,0,0,0,0,0,10,9.978,9.156,5.293,105.48,466.019,,,monoclinic,C2/c,American Mineralogist 52 (1967) 709-720,
Augite,(CaMg0.589Fe0.411)Si2O6,0,0,1,0,0,0,0.589,0,0,0,6,0,2,0,0.411,0,0,0,0,10,9.789,8.96,5.251,105.49,443.85,,,monoclinic,C2/c,American Mineralogist 54 (1969) 238-245,Synthetic #WD 163
Diopside,(Ca1.00Mg0.50Fe0.50)Si2O6,0,0,1,0,0,0,0.5,0,0,0,6,0,2,0,0.5,0,0,0,0,10,9.7955,8.9725,5.252,105.49,445.4,,,monoclinic,C2/c,American Mineralogist 58 (1973) 50-59,"Synthetic 50,50"
Hedenbergite,(Ca.758 Na.242) Fe Si2 O6,0,0,0.758,0,0,0,0,0,0.242,0,6,0,2,0,0.758,0.242,0,0,0,10,9.7929,8.9656,5.2696,105.496,445.848,,298 K,monoclinic,C2/c,American Mineralogist 91 (2006) 1271-1292,Locality: synthetic
Diopside,CaMg0.6321Fe0.3679Si2O6,0,0,1,0,0,0,0.632,0,0,0,6,0,2,0,0.368,0,0,0,0,10,9.793,8.962,5.254,105.5,444.28,,,monoclinic,C2/c,Mineralogical Magazine 37 (1969) 216-229,Synthetic: Di63.21Hd36.79
Diopside,(Mg.52 Fe.48) Ca Si2 O6,0,0,1,0,0,0,0.52,0,0,0,6,0,2,0,0.48,0,0,0,0,10,9.795,8.979,5.2545,105.5,445.322,,,monoclinic,C2/c,The Canadian Mineralogist 28 (1990) 93-109,
Hedenbergite,(Ca.742 Na.258) Fe Si2 O6,0,0,0.742,0,0,0,0,0,0.258,0,6,0,2,0,0.742,0.258,0,0,0,10,9.7938,8.9685,5.2632,105.52,445.44,,298 K,monoclinic,C2/c,American Mineralogist 91 (2006) 1271-1292,Locality: synthetic
Hedenbergite,(Na.25 Ca.75) Fe Si2 O6,0,0,0.75,0,0,0,0,0,0.25,0,6,0,2,0,0.75,0.25,0,0,0,10,9.7951,8.9698,5.2634,105.523,445.574,,,monoclinic,C2/c,European Journal of Mineralogy 12 (2000) 105-120,
Diopside,CaMg0.7278Fe0.2722Si2O6,0,0,1,0,0,0,0.728,0,0,0,6,0,2,0,0.272,0,0,0,0,10,9.78,8.954,5.253,105.59,443.08,,,monoclinic,C2/c,Mineralogical Magazine 37 (1969) 216-229,Synthetic: Di72.78Hd27.22
Diopside,(CaMg0.717Fe0.283)Si2O6,0,0,1,0,0,0,0.717,0,0,0,6,0,2,0,0.283,0,0,0,0,10,9.782,8.96,5.243,105.59,442.66,,,monoclinic,C2/c,American Mineralogist 54 (1969) 238-245,Synthetic #WD 123
Petedunnite,(Ca0.92Na0.06Mn0.02)(Zn0.37Mn0.18Fe0.19Fe0.12Mg0.14)(Si1.94Al0.06)O6,0.06,0,0.92,0,0,0,0.14,0.2,0.06,0,6,0,1.94,0,0.19,0.12,0.37,0,0,10,9.82,9,5.27,105.6,448,,,monoclinic,C2/c,American Mineralogist 72 (1987) 157-166,"Locality: Franklin, New Jersey, USA"
Hedenbergite,Ca0.6848FeNa0.3152Si2O6,0,0,0.685,0,0,0,0,0,0.315,0,6,0,2,0,0.6848,0.3152,0,0,0,10,9.784,8.953,5.268,105.6,444.45,,,monoclinic,C2/c,Mineralogical Magazine 37 (1969) 216-229,Synthetic: Ae31.52Hd68.48
Diopside,(CaMg0.717Fe0.283)Si2O6,0,0,1,0,0,0,0.717,0,0,0,6,0,2,0,0.283,0,0,0,0,10,9.782,8.952,5.255,105.6,443.23,,,monoclinic,C2/c,American Mineralogist 54 (1969) 238-245,Synthetic #WD 161
Augite,(Ca0.70Fe1.30)Si2O6,0,0,0.7,0,0,0,0,0,0,0,6,0,2,0,1.3,0,0,0,0,10,9.8095,9.05,5.238,105.61,447.9,,,monoclinic,C2/c,American Mineralogist 58 (1973) 50-59,"Synthetic 100,35"
