mineral,Al,Ca,Cr3+,Cr2+,Fe2+,Fe3+,K,Mg,Mn2+,Mn3+,Na,O,Si,Ti4+,sum,a,b,c,beta,V,reference
Pigeonite,0,0.2,0,0,0.54,0,0,1.26,0,0,0,6,2,0,10,9.684,8.907,5.227,108.51,427.6,American Mineralogist 58 (1973) 50-59
Clinoferrosilite,0,0,0,0,1.38,0,0,0.62,0,0,0,6,2,0,10,9.6837,8.9905,5.2202,108.604,430.73,Physics and Chemistry of Minerals 25 (1998) 249-258
Clinoferrosilite,0,0,0,0,1.29,0,0,0.71,0,0,0,6,2,0,10,9.6761,8.9664,5.2171,108.623,428.93,Physics and Chemistry of Minerals 25 (1998) 249-258
Clinoferrosilite,0,0,0,0,1.19,0,0,0.81,0,0,0,6,2,0,10,9.6744,8.963,5.2157,108.63,428.57,Physics and Chemistry of Minerals 25 (1998) 249-258
Clinoferrosilite,0,0,0,0,1.2,0,0,0.8,0,0,0,6,2,0,10,9.667,8.961,5.216,108.69,428,American Mineralogist 58 (1973) 50-59
Enstatite,0,0.2,0,0,0,0,0,1.8,0,0,0,6,2,0,10,9.6655,8.8534,5.2138,108.349,423.474,The Canadian Mineralogist 43 (2005) 1411-1421
Pigeonite,0,0.1,0,0,0.95,0,0,0.95,0,0,0,6,2,0,10,9.662,8.931,5.218,108.71,426.5,American Mineralogist 58 (1973) 50-59
Clinoenstatite,0,0.1,0,0,0.57,0,0,1.33,0,0,0,6,2,0,10,9.662,8.893,5.21,108.61,424.2,American Mineralogist 58 (1973) 50-59
Enstatite,0,0.15,0,0,0,0,0,1.85,0,0,0,6,2,0,10,9.654,8.845,5.203,108.37,421.642,European Journal of Mineralogy 14 (2002) 549-555
Clinoenstatite,0,0.188,0,0,0,0,0,1.812,0,0,0,6,2,0,10,9.653,8.848,5.202,108.41,421.5,American Mineralogist 58 (1973) 50-59
Clinoenstatite,0,0,0,0,0.77,0,0,1.23,0,0,0,6,2,0,10,9.6519,8.9075,5.2004,108.59,423.77,Physics and Chemistry of Minerals 25 (1998) 249-258
Clinoenstatite,0,0.15,0,0,0,0,0,1.85,0,0,0,6,2,0,10,9.651,8.846,5.202,108.34,421.551,American Mineralogist 87 (2002) 648-657
Clinoenstatite,0,0.15,0,0,0,0,0,1.85,0,0,0,6,2,0,10,9.651,8.846,5.202,108.38,421.453,American Mineralogist 87 (2002) 648-657
Pigeonite,0,0.15,0,0,0,0,0,1.85,0,0,0,6,2,0,10,9.651,8.846,5.252,108.38,425.504,European Journal of Mineralogy 15 (2003) 903-911
Clinoenstatite,0,0.14,0,0,0,0,0,1.86,0,0,0,6,2,0,10,9.65,8.84,5.18,108.45,419.2,American Mineralogist 58 (1973) 50-59
Clinoenstatite,0,0,0,0,0.8,0,0,1.2,0,0,0,6,2,0,10,9.649,8.9,5.199,108.59,423.2,American Mineralogist 58 (1973) 50-59
Pigeonite,0,0.15,0,0,0,0,0,1.85,0,0,0,6,2,0,10,9.646,8.842,5.201,108.35,421.037,American Mineralogist 89 (2004) 189-196
Clinoenstatite,0,0,0,0,0.6,0,0,1.4,0,0,0,6,2,0,10,9.645,8.878,5.193,108.58,421.4,American Mineralogist 58 (1973) 50-59
Clinoenstatite,0,0,0,0,0.59,0,0,1.41,0,0,0,6,2,0,10,9.6434,8.8852,5.195,108.548,422.01,Physics and Chemistry of Minerals 25 (1998) 249-258
Clinoenstatite,0,0,0,0,0.22,0,0,1.78,0,0,0,6,2,0,10,9.6194,8.8396,5.1793,108.438,417.8,Physics and Chemistry of Minerals 25 (1998) 249-258
Clinoenstatite,0,0,0,0,0,0,0,2,0,0,0,6,2,0,10,9.6076,8.8152,5.1702,108.35,415.61,Physics and Chemistry of Minerals 25 (1998) 249-258
Clinoenstatite,0,0,0,0,0,0,0,2,0,0,0,6,2,0,10,9.59,8.812,5.159,108.15,414.3,American Mineralogist 58 (1973) 50-59
Omphacite,0.44,0.51,0,0,0.14,0.02,0,0.44,0,0,0.48,6,2,0,10.03,9.581,8.769,5.251,106.84,422.249,R061129
Clinoenstatite,0,0,0,0,0,0,0,2,0,0,0,6,2,0,10,9.603,8.815,5.162,108.35,414.746,R070276
Kanoite,0.04,0.12,0,0,0,0.02,0,0.98,0.88,0,0,6,1.96,0,10,9.711,8.871,5.258,108.48,429.6,R061134
