mineral,Vac,Al,B,Ba,Ca,Cs,Fe3+,K,Mg,Mn2+,Na,O,Rb,Si,Sr,Ti4+,Sum,a,b,c,alpha,beta,gamma,V,crystal system,space group,reference
Albite,0,1.277,0,0,0.277,0,0,0,0,0,0.723,8,0,2.723,0,0,13,8.169,12.851,7.124,93.63,116.4,89.46,668.391,triclinic,C1,Zeitschrift fur Kristallographie 133 (1971) 43-65
Albite,0,1.2,0,0,0.2,0,0,0.03,0,0,0.77,8,0,2.8,0,0,13,8.168,12.839,7.138,93.83,116.45,88.91,668.6,triclinic,C1,Geochimica et Cosmochimica Acta 49 (1985) 947-966
Albite,0,1.27,0,0,0.27,0,0,0.02,0,0,0.71,8,0,2.73,0,0,13,8.165,12.849,7.127,93.71,116.38,89.25,668.4,triclinic,C1,Geochimica et Cosmochimica Acta 49 (1985) 947-966
Albite,0,1.4,0,0,0.4,0,0,0.01,0,0,0.59,8,0,2.6,0,0,13,8.163,12.857,7.116,93.57,116.28,89.79,668,triclinic,C1,Geochimica et Cosmochimica Acta 49 (1985) 947-966
Albite,0,1.2,0,0,0.2,0,0,0.03,0,0,0.77,8,0,2.8,0,0,13,8.168,12.881,7.113,93.37,116.33,90.24,669.2,triclinic,C1,Geochimica et Cosmochimica Acta 49 (1985) 947-966
Albite,0,1.49,0,0,0.49,0,0,0,0,0,0.51,8,0,2.51,0,0,13,8.167,12.854,7.111,93.61,116.24,89.83,668,triclinic,C1,Geochimica et Cosmochimica Acta 49 (1985) 947-966
Albite,0,1.27,0,0,0.27,0,0,0.02,0,0,0.71,8,0,2.73,0,0,13,8.169,12.88,7.111,93.37,116.28,90.26,669.4,triclinic,C1,Geochimica et Cosmochimica Acta 49 (1985) 947-966
Albite,0,1.4,0,0,0.4,0,0,0.01,0,0,0.59,8,0,2.6,0,0,13,8.167,12.877,7.108,93.42,116.23,90.31,669,triclinic,C1,Geochimica et Cosmochimica Acta 49 (1985) 947-966
Albite,0,1.49,0,0,0.49,0,0,0,0,0,0.51,8,0,2.51,0,0,13,8.169,12.875,7.106,93.5,116.15,90.37,669.1,triclinic,C1,Geochimica et Cosmochimica Acta 49 (1985) 947-966
Albite,0,1.007,0,0,0.007,0,0,0.002,0,0,0.991,8,0,2.993,0,0,13,8.139,12.782,7.157,94.29,116.6,87.69,663.869,triclinic,P1,Schweizerische Mineralogische und Petrographische Mitteilungen 47 (1967) 333-349
Albite,0,1.111,0,0,0.111,0,0,0.014,0,0,0.875,8,0,2.889,0,0,13,8.148,12.798,7.156,94.2,116.57,87.85,665.604,triclinic,P1,Schweizerische Mineralogische und Petrographische Mitteilungen 47 (1967) 333-349
Albite,0,1.172,0,0,0.172,0,0,0.006,0,0,0.822,8,0,2.828,0,0,13,8.154,12.826,7.137,93.94,116.48,88.74,666.494,triclinic,P1,Schweizerische Mineralogische und Petrographische Mitteilungen 47 (1967) 333-349
Albite,0,1.176,0,0,0.176,0,0,0.009,0,0,0.815,8,0,2.824,0,0,13,8.153,12.824,7.134,93.95,116.46,88.84,666.122,triclinic,P1,Schweizerische Mineralogische und Petrographische Mitteilungen 47 (1967) 333-349
Albite,0,1.374,0,0,0.374,0,0,0.042,0,0,0.584,8,0,2.626,0,0,13,8.171,12.862,7.119,93.59,116.3,89.68,669.206,triclinic,P1,Schweizerische Mineralogische und Petrographische Mitteilungen 47 (1967) 333-349
Albite,0,1.353,0,0,0.353,0,0,0.004,0,0,0.643,8,0,2.647,0,0,13,8.161,12.859,7.116,93.66,116.3,89.71,667.878,triclinic,P1,Schweizerische Mineralogische und Petrographische Mitteilungen 47 (1967) 333-349
Albite,0,1.432,0,0,0.432,0,0,0.004,0,0,0.564,8,0,2.568,0,0,13,8.167,12.856,7.113,93.6,116.27,89.71,668.158,triclinic,P1,Schweizerische Mineralogische und Petrographische Mitteilungen 47 (1967) 333-349
Albite,0,1.031,0,0,0.007,0,0.001,0.009,0,0,0.974,8,0,2.976,0,0,12.998,8.1409,12.7883,7.1602,94.251,116.586,87.676,664.76,triclinic,C1,American Mineralogist 90 (2005) 1115-1120
Albite,0,1.005,0,0,0.001,0,0,0.006,0,0,0.993,8,0,2.995,0,0,13,8.142,12.785,7.159,94.19,116.61,87.68,664.477,triclinic,C1,American Mineralogist 65 (1980) 986-995
