mineral,Vac,Al,B,Ca,Cr3+,Cr2+,Fe2+,Fe3+,H,K,Li,Mg,Mn2+,Mn3+,Na,Ni,O,Sc,Si,Ti4+,Ti3+,V,Zn,sum,a,b,c,beta,V,reference
Augite,0,0.19,0,0.88,0.01,0,0.13,0,0,0,0,0.83,0,0,0.04,0,6,0,1.89,0.03,0,0,0,10,9.744,8.8954,5.2725,106.098,439.084,R061086
Diopside,0,0.14,0,0.97,0.01,0,0.1,0.04,0,0,0,0.79,0,0,0.03,0,6,0,1.9,0.02,0,0,0,10,9.7395,8.9089,5.2597,106.123,438.425,R060085
Diopside,0,0.33,0,0.72,0,0,0.23,0.02,0,0,0,0.8,0,0,0.05,0,6,0,1.82,0.03,0,0,0,10,9.7197,8.8655,5.2747,106.556,435.677,R060861
Aegirine,0,0,0,0.02,0,0,0,0.96,0,0,0,0,0.03,0,0.98,0,6,0,2,0.01,0,0,0,10,9.682,8.8145,5.306,107.08,432.853,R050074
Aegirine,0,0.06,0,0.04,0,0,0,0.86,0,0,0,0.02,0.06,0,0.96,0,6,0,1.94,0.07,0,0,0,10.01,9.657,8.8002,5.302,107.29,430.222,R040054
Aegirine,0,0.02,0,0,0.01,0,0,0.97,0,0,0,0,0,0,1,0,6,0,2,0,0,0,0,10,9.64,8.779,5.2873,107.33,427.149,R061093
Aegirine,0,0.07,0,0,0,0,0,0.91,0,0,0,0.01,0,0,1,0,6,0,2,0.01,0,0,0,10,9.369,8.78,5.294,107.42,415.51,R070125
Kosmochlor,0,0,0,0,0.99,0,0,0.01,0,0,0,0,0,0,1,0,6,0,2,0,0,0,0,10,9.572,8.7094,5.2678,107.498,418.836,R120015
Jadeite,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,1.98,0,0,0,0,10,9.4257,8.5684,5.2255,107.565,402.351,R050220
Jadeite,0,0.86,0,0,0.09,0,0,0.05,0,0,0,0,0,0,1,0,6,0,2,0,0,0,0,10,9.463,8.606,5.245,107.57,407.219,R070117
Spodumene,0,0.99,0,0,0,0,0,0.01,0,0,1,0,0,0,0,0,6,0,2,0,0,0,0,10,9.4739,8.4006,5.2249,110.16,390.355,R060039
Spodumene,0,1,0,0,0,0,0,0,0,0,0.99,0,0,0,0.01,0,6,0,2,0,0,0,0,10,9.4638,8.3909,5.2178,110.168,388.939,R040050
Spodumene,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,2,0,0,0,0,10,9.4666,8.3916,5.2199,110.17,389.238,R050252
