mineral,Vac,Al,B,Ca,Cr3+,Cr2+,Fe2+,Fe3+,H,K,Li,Mg,Mn2+,Mn3+,Na,Ni,O,Sc,Si,Ti4+,Ti3+,V,Zn,sum,a,b,c,beta,V,reference
Hedenbergite,0,0,0,1,0,0,0.7,0,0,0,0,0.3,0,0,0,0,6,0,2,0,0,0,0,10,9.821,8.992,5.251,105.18,447.6,American Mineralogist 58 (1973) 50-59
Augite,0,0,0,0.8,0,0,1.2,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,10,9.821,9.042,5.242,105.38,448.8,American Mineralogist 58 (1973) 50-59
Hedenbergite,0,0,0,1,0,0,0.671,0,0,0,0,0.329,0,0,0,0,6,0,2,0,0,0,0,10,9.821,8.994,5.247,105.13,447.39,Mineralogical Magazine 37 (1969) 216-229
Petedunnite,0,0.06,0,0.92,0,0,0.19,0.12,0,0,0,0.14,0.2,0,0.06,0,6,0,1.94,0,0,0,0.37,10,9.82,9,5.27,105.6,448,American Mineralogist 72 (1987) 157-166
Hedenbergite,0,0,0,0.7,0,0,1.3,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,10,9.819,9.056,5.242,105.61,448.931,American Mineralogist 98 (2013) 1227-1234
Hedenbergite,0,0,0,1,0,0,0.682,0,0,0,0,0.318,0,0,0,0,6,0,2,0,0,0,0,10,9.816,8.987,5.252,105.07,447.41,American Mineralogist 54 (1969) 238-245
Hedenbergite,0,0,0,1,0,0,0.682,0,0,0,0,0.318,0,0,0,0,6,0,2,0,0,0,0,10,9.816,8.991,5.253,105.1,447.61,American Mineralogist 54 (1969) 238-245
Hedenbergite,0,0,0,0.9,0,0,0.825,0,0,0,0,0.275,0,0,0,0,6,0,2,0,0,0,0,10,9.814,9.002,5.249,105.46,447,American Mineralogist 58 (1973) 50-59
Diopside,0,0,0,1,0,0,0.66,0,0,0,0,0.34,0,0,0,0,6,0,2,0,0,0,0,10,9.814,8.9959,5.2534,105.331,447.296,The Canadian Mineralogist 28 (1990) 93-109
Hedenbergite,0,0,0,1,0,0,0.6,0,0,0,0,0.4,0,0,0,0,6,0,2,0,0,0,0,10,9.813,8.982,5.251,105.32,445.5,American Mineralogist 58 (1973) 50-59
Hedenbergite,0,0,0,0.7,0,0,1.3,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,10,9.812,9.049,5.233,105.3,448.164,American Mineralogist 60 (1975) 423-434
Augite,0,0,0,0.7,0,0,1.3,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,10,9.8095,9.05,5.238,105.61,447.9,American Mineralogist 58 (1973) 50-59
Hedenbergite,0,0,0,1,0,0,0.567,0,0,0,0,0.433,0,0,0,0,6,0,2,0,0,0,0,10,9.809,8.985,5.249,105.28,446.33,Mineralogical Magazine 37 (1969) 216-229
Hedenbergite,0,0,0,0.85,0,0,0.85,0.15,0,0,0,0,0,0,0.15,0,6,0,2,0,0,0,0,10,9.8067,8.9852,5.2886,105.356,449.369,American Mineralogist 91 (2006) 1271-1292
Hedenbergite,0,0,0,0.6,0,0,1.4,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,10,9.806,9.068,5.238,105.92,447.903,American Mineralogist 98 (2013) 1227-1234
Petedunnite,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,1,10,9.8055,8.9778,5.2499,105.761,444.783,American Mineralogist 95 (2010) 832-838
Diopside,0,0,0,1,0,0,0.466,0,0,0,0,0.534,0,0,0,0,6,0,2,0,0,0,0,10,9.804,8.971,5.253,105.46,445.3,Mineralogical Magazine 37 (1969) 216-229
Hedenbergite,0,0,0,0.788,0,0,0.788,0.212,0,0,0,0,0,0,0.212,0,6,0,2,0,0,0,0,10,9.804,8.972,5.263,105.4,446.36,Mineralogical Magazine 37 (1969) 216-229
