mineral,Ca,Co2+,Fe2+,Mg,Mn2+,Ni,Zn,O,Si,a,b,c,V,space group,reference
Forsterite,0,0,0,2,0,0,0,4,1,4.7501,10.2042,5.9806,289.885,Pbnm,"Neues Jahrbuch für Mineralogie, Monatshefte 1987 (1987) 97-106"
Forsterite,0,0,0,2,0,0,0,4,1,4.7503,10.187,5.9771,289.24,Pbnm,Materials Science of the Earth's Interior 1984 (1984) 191-231
Forsterite,0,0,0,2,0,0,0,4,1,4.7506,10.2048,5.9817,289.986,Pbnm,"Neues Jahrbuch für Mineralogie, Monatshefte 1987 (1987) 97-106"
Forsterite,0,0,0,2,0,0,0,4,1,4.751,10.203,5.983,290.023,Pbnm,Geokhimiya 7 (1984) 1047-1055
Forsterite,0,0,0,1.7,0,0.3,0,4,1,4.7515,10.199,5.9696,289.29,Pbnm,American Mineralogist 86 (2001) 1170-1187
Forsterite,0,0,0,2,0,0,0,4,1,4.752,10.193,5.977,289.509,Pbnm,American Mineralogist 61 (1976) 1280-1293
Forsterite,0,0,0,2,0,0,0,4,1,4.752,10.192,5.978,289.529,Pbnm,Physics and Chemistry of Minerals 32 (2005) 301-313
Forsterite,0,0,0,1.9,0,0.1,0,4,1,4.7523,10.2008,5.9726,289.54,Pbnm,Geochemical Journal 2 (1968) 51-59
Forsterite,0,0,0,1.9,0.1,0,0,4,1,4.753,10.231,5.999,291.719,Pbnm,Geokhimiya 7 (1984) 1047-1055
Forsterite,0,0,0.125,1.875,0,0,0,4,1,4.753,10.216,6,291.3,Pbnm,"Zeitschrift für Naturforschung B Anorganische Chemie, Organische Chemie 33b (1978) 731-736"
Forsterite,0,0,0.3,1.7,0,0,0,4,1,4.753,10.216,6,291.3,Pbnm,"Zeitschrift für Naturforschung B Anorganische Chemie, Organische Chemie 33b (1978) 731-736"
Forsterite,0,0,0.4,1.6,0,0,0,4,1,4.753,10.216,6,291.3,Pbnm,"Zeitschrift für Naturforschung B Anorganische Chemie, Organische Chemie 33b (1978) 731-736"
Forsterite,0,0,0,2,0,0,0,4,1,4.753,10.191,5.982,289.755,Pbnm,American Mineralogist 70 (1985) 568-575
Forsterite,0,0,0,2,0,0,0,4,1,4.7534,10.1902,5.9783,289.577,Pbnm,Acta Crystallographica B37 (1981) 513-518
Forsterite,0,0,0,2,0,0,0,4,1,4.7535,10.1943,5.9807,289.8,Pbnm,American Mineralogist 61 (1976) 1280-1293
Forsterite,0,0,0,2,0,0,0,4,1,4.7536,10.2066,5.9845,290.357,Pbnm,Physics and Chemistry of Minerals 24 (1997) 17-23
Forsterite,0,0,0,2,0,0,0,4,1,4.7537,10.198,5.9811,289.96,Pbnm,American Mineralogist 58 (1973) 998-1008
Forsterite,0,0,0.6,1.4,0,0,0,4,1,4.754,10.242,6.001,292.2,Pbnm,"Zeitschrift für Naturforschung B Anorganische Chemie, Organische Chemie 33b (1978) 731-736"
Forsterite,0,0,0.5,1.5,0,0,0,4,1,4.754,10.229,6.004,292,Pbnm,"Zeitschrift für Naturforschung B Anorganische Chemie, Organische Chemie 33b (1978) 731-736"
